Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.35, 0.56) ; not far from the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.04, 0.18) ; quite close to the left side of the table ; (S1 (S (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.69, 0.29) ; not really close to the left edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.53, 1.42) ; really near the middle of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.56, 1.17) ; fairly near the center of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.78) ; quite far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.30, 1.37) ; quite far from the left side of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 0.23) ; really far from the center of the near edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.63, 0.83) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.09, 1.28) ; rather near the left side of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 0.40) ; somewhat close to the near edge of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.69, 0.79) ; not squarely at the middle of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.53, 1.57) ; not far from the that end of the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (DT that) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.07, 1.81) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.39, 0.48) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 1.69) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 0.52) ; really close to the middle of the table ; (S1 (S (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.11, 1.22) ; really far from the left side of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.76, 0.06) ; quite close to the near edge of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 0.01) ; not far from the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.76, 0.11) ; not rather far from the my end of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.20, 0.28) ; quite far from the right edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.45, 1.94) ; not far from the far edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.39, 1.32) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 1.31) ; quite close to the left edge of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.45, 0.67) ; very far from the lower left corner of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.02, 0.93) ; close to the left edge of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.96, 1.95) ; not very far from the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.20, 0.31) ; almost at the center of the near edge of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.46, 0.43) ; pretty near the near edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.43, 0.12) ; rather close to the center of the near edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.86, 0.16) ; really far from the this end of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.15, 0.43) ; rather near the left side of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.65, 0.66) ; quite far from the middle of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 1.93) ; not very far from the far end of the table ; (S1 (FRAG (RB not) (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.24, 0.90) ; quite far from the center of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.31) ; very far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.23, 1.96) ; not rather far from the far edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.21, 1.12) ; not really near the this end of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.40, 0.04) ; not really far from the near edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.44, 1.52) ; not far from the right side of the far edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.95, 1.68) ; pretty close to the right edge of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.50, 1.93) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 1.53) ; somewhat near the left side of the far edge of the table ; (S1 (FRAG (RB somewhat) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.77, 1.25) ; not near the middle of the near edge of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.25, 0.36) ; quite far from the left edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.28, 0.62) ; not at the left side of the near edge of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.19, 0.42) ; somewhat far from the far edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.23, 1.55) ; not rather far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 1.44) ; not quite near the center of the left edge of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.31, 1.70) ; quite far from the far edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.16, 0.92) ; close to the center of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.92, 1.33) ; really near the right edge of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 1.52) ; not close to the right side of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.00, 1.61) ; not rather far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.24, 0.89) ; not far from the center of the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.38, 0.04) ; quite far from the left edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.99, 1.41) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 1.77) ; very far from the left edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 0.58) ; nearly at the left edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.50, 0.60) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.09, 0.19) ; quite close to the left side of the table ; (S1 (S (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.42, 1.90) ; really far from the far edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.54, 1.03) ; near the center of the table ; (S1 (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.57, 0.63) ; rather near the center of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 0.28) ; not at the right side of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.50, 1.43) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.49, 0.35) ; pretty close to the center of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.08, 0.69) ; nearly at the left side of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.23) ; not squarely at the near end of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.08, 0.84) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.34, 1.70) ; very far from the left side of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.59, 0.99) ; rather near the center of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.16, 1.40) ; really far from the middle of the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.02, 0.54) ; almost at the left edge of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.79, 0.09) ; near the near edge of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.25, 1.83) ; not at the middle of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 0.03) ; not quite far from the this end of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.31, 1.50) ; quite far from the middle of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.81, 1.14) ; pretty far from the left side of the table ; (S1 (ADVP (ADVP (RB pretty) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.90, 1.80) ; fairly near the far end of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 0.63) ; fairly near the right edge of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 0.34) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.22, 0.27) ; not far from the left side of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.20, 0.79) ; really far from the left side of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.24, 0.64) ; quite far from the left side of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.02, 1.29) ; almost at the left side of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.80, 0.40) ; not squarely at the center of the near edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.45, 1.80) ; really far from the far edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 1.45) ; not quite far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.18, 0.61) ; not rather far from the near edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.38, 0.33) ; very far from the middle of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.41, 0.30) ; not rather near the center of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.41, 0.51) ; not squarely at the right edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.27, 1.29) ; not rather far from the center of the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.24, 1.08) ; not at the lower left corner of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (ADJP (RBR lower) (VBN left)) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.96, 1.33) ; not very far from the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.26, 0.39) ; not far from the center of the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.12, 1.21) ; very far from the far edge of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.92, 0.58) ; not rather near the middle of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.10, 0.69) ; not quite near the right edge of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 1.82) ; nearly at the right edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 1.55) ; pretty close to the left side of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.19, 0.82) ; very far from the left side of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 1.67) ; quite far from the far edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.88, 0.09) ; rather near the near edge of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.84, 1.32) ; nearly at the right side of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.79, 1.66) ; rather near the right edge of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.01, 1.72) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.23, 0.49) ; not really near the near edge of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.65, 0.11) ; really near the near edge of the table ; (S1 (FRAG (RB really) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.88, 1.59) ; not quite close to the upper left corner of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.05, 1.02) ; somewhat far from the left side of the near edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.20, 1.71) ; not quite close to the left side of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.23, 0.40) ; not quite close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.01, 0.95) ; at the left edge of the table ; (S1 (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.50, 1.14) ; pretty close to the center of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.58, 0.46) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 0.19) ; rather near the left side of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.71, 1.44) ; very far from the center of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.48, 0.31) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.23, 1.06) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.34, 0.27) ; not squarely at the far edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.32, 1.18) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.01, 0.79) ; close to the left side of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
